Product Description,Price(Dollar),Number of  reviews,Free days,Shipment
"CyberpowerPC Gamer Xtreme VR Gaming PC, Intel Core i9-13900KF 3.0GHz, GeForce RTX 4080 16GB, 16GB DDR5, 2TB PCI-E NVMe SSD, 2TB HDD, WiFi Ready & Win 11 Home (GXiVR8620A2), White","2,899",,90 days FREE. Terms apply.,Ships to Bangladesh
Lenovo ThinkPad T16 Gen 1 21BV-16 GB RAM - 512 GB SSD - Intel Core i5 1235U / 1.3 GHz - Win 10 Pro 64-,"1,683",,90 days FREE. Terms apply.,Ships to Bangladesh
Lenovo ThinkPad E15 Gen 4 21E6007HUS 15.6" Notebook - Full HD - 1920 x 1080 - Intel Core i5 12th Gen i5-1235U Deca-core (10 Core) - 16 GB Total RAM - 8 GB On-Board Memory - 512 GB SSD - Mineral,909,,90 days FREE. Terms apply.,Ships to Bangladesh
"ASUS 2023 ProArt StudioBook 16 OLED Laptop, 16î 3.2K OLED Touch Display, Intel Core i9-13980HX CPU, Nvidia GeForce RTX 4060 GPU, 32GB DDR5 RAM, 1TB SSD, Windows 11 Home, H7604JV-DS96T, Mineral Black","2,199",,90 days FREE. Terms apply.,Ships to Bangladesh
Lenovo ThinkPad E15 Gen 4 21ED003WUS 15.6" Notebook - Full HD - 1920 x 1080 - AMD Ryzen 5 5625U Hexa-core (6 Core) 2.30 GHz - 8 GB Total RAM - 8 GB On-Board Memory - 256 GB SSD - Mineral Metallic,718,,90 days FREE. Terms apply.,Ships to Bangladesh
"MSI PRO 16T AIO Desktop, 15.6"" HD Touchscreen, Intel Celeron 5205U, 4GB Memory, 128GB SSD, WiFi 5, BT 5.1, Fanless, Windows 10 PRO (10M-085US)",453,,90 days FREE. Terms apply.,Ships to Bangladesh
HP 470 G9 17.3" Notebook - Full HD - 1920 x 1080 - Intel Core i7 12th Gen i7-1255U Deca-core (10 Core) 1.70 GHz - 16 GB Total RAM - 512 GB SSD,"1,281",,90 days FREE. Terms apply.,"Get it Tue, Jun 27 - Mon, Jul 10"
"OnePlus Pad 11.61"" LCD Display, 8GB RAM,128GB Storage, MediaTek Dimensity 9000, Android 13.1, 144HZ Refresh Rate, Dolby Vision Atmos, Wi-Fi with Cellular Data Sharing Tablet",479,2,90 days FREE. Terms apply.,Ships to Bangladesh
Lenovo ThinkStation P348 30EQ024EUS Workstation - 1 x Intel Core i7 Octa-core (8 Core) i7-11700 11th Gen 2.50 GHz - 16 GB DDR4 SDRAM RAM - 512 GB SSD - Tower,"1,239",2,90 days FREE. Terms apply.,Ships to Bangladesh
"MSI PRO AP241 AIO Desktop, 23.8"" FHD IPS-Grade LED, Intel Core i3-10105, 8GB Memory, 250GB SSD, WiFi 6, BT 5.1, Black, Windows 10 Home (11M-003US)",478,6,90 days FREE. Terms apply.,Ships to Bangladesh
MSI Crosshair17 17.3" 144Hz FHD Gaming Laptop Intel Core i7-11800H RTX3050TI 16GB 512GBNVMe SSD Win11 - Gray (A11UDK-643),"1,199",2,90 days FREE. Terms apply.,Ships to Bangladesh
"HP Chromebook 14 G7 14"" Chromebook - HD - 1366 x 768 - Intel Celeron N4500 Dual-core (2 Core) - 4 GB RAM - 32 GB Flash Memory,Black",256,153,90 days FREE. Terms apply.,Ships to Bangladesh
HP EliteBook 840 G9 14" Notebook - WUXGA - 1920 x 1200 - Intel Core i7 12th Gen i7-1265U Deca-core (10 Core) - 32 GB Total RAM - 512 GB SSD,"2,562",1,90 days FREE. Terms apply.,"Get it Tue, Jun 27 - Mon, Jul 10"
Lenovo ThinkPad P14s Gen 3 21AK002CUS 14" Touchscreen Mobile Workstation - WUXGA - 1920 x 1200 - Intel Core i7 12th Gen i7-1260P Dodeca-core (12 Core) 3.40 GHz - 16 GB Total RAM - 512 GB SSD - Black,"1,557",,90 days FREE. Terms apply.,"Get it Tue, Jun 27 - Thu, Jul 13"
Lenovo ThinkPad T14 Gen 3 21AH00LKUS 14" Touchscreen Notebook - WUXGA - 1920 x 1200 - Intel Core i7 12th Gen i7-1260P Dodeca-core (12 Core) 2.10 GHz - 16 GB Total RAM - 16 GB On-Board Memory - 512 GB,"1,772",,90 days FREE. Terms apply.,"Get it Thu, Jun 22 - Wed, Jul 5"
Lenovo ThinkCentre M90s Gen 3 11TT000MUS Desktop Computer - Intel Core i5 12th Gen i5-12500 Hexa-core (6 Core) 3 GHz - 16 GB RAM DDR5 SDRAM - 512 GB M.2 PCI Express NVMe SSD - Small Form Factor -,"1,196",,90 days FREE. Terms apply.,Ships to Bangladesh
Intel NUC 12 Pro NUC12WSKi7 Desktop Computer Core i7 12th Gen i7-1260P Dodeca-core (12 Core) - 16 GB RAM DDR4 SDRAM - 500 GB PCI Express NVMe 4.0 SSD - Mini PC,"1,051",,90 days FREE. Terms apply.,"Get it Mon, Jul 3 - Tue, Jul 25"
"2022 HP 14"" FHD (1920x1080) IPS Touchscreen Laptop, Windows 11 OS, Fingerprint Reader, Qualcomm Octa-core Snapdragon Processor 2.35GHz, 4GB LPDDR4x, 128GB SSD (Renewed)",209,,90 days FREE. Terms apply.,Ships to Bangladesh
HP EliteBook 655 G9 15.6" Touchscreen Notebook - Full HD - 1920 x 1080 - AMD Ryzen 5 PRO 5675U Hexa-core (6 Core) 2.30 GHz - 16 GB Total RAM - 512 GB SSD,"1,299",,90 days FREE. Terms apply.,Ships to Bangladesh
Lenovo IdeaPad 1 14IGL05 81VU00D6US 14" Notebook - HD - 1366 x 768 - Intel Pentium Silver N5030 Quad-core (4 Core) 1.10 GHz - 4 GB RAM - 128 GB SSD,209,,90 days FREE. Terms apply.,Ships to Bangladesh
ASUS CHROMEBOX5-S3053UN-WC I3-1220P/8/128/CHROME/VESA MOU Desktop,530,,90 days FREE. Terms apply.,Ships to Bangladesh
"MSI Creator Z16P 16"" Professional Creator Laptop: Intel Core i7-12700H RTX 3080 Ti 32GB DDR5 1TB NVMe SSD, QHD+ 165hz 100% DCI-P3, Thunderbolt 4 w/ PD Charging, Win 11 Pro: Lunar Gray B12UHST-040","2,699",,90 days FREE. Terms apply.,Ships to Bangladesh
Lenovo ThinkPad L15 Gen 3 21C30051US 15.6" Touchscreen Notebook - Full HD - 1920 x 1080 - Intel Core i7 12th Gen i7-1255U Deca-core (10 Core) - 16 GB Total RAM - 256 GB SSD - Thunder Black,"1,156",,90 days FREE. Terms apply.,Ships to Bangladesh
"ASUS ROG Strix G17 (2022) Gaming Laptop, 17.3î 144Hz IPS FHD Display, NVIDIA GeForce RTX 3050 GPU, AMD Ryzen 7 6800H Processor, 16GB DDR5 RAM, 512GB SSD, RGB Keyboard, Windows 11, G713RC-RS73","1,234",,90 days FREE. Terms apply.,"Get it Tue, Jun 27 - Mon, Jul 10"
"Skytech Blaze 3.0 Gaming PC Desktop - AMD Ryzen 7 3700X 3.6GHz, RTX 3070 8GB GDDR6, 16GB DDR4 3000, 1TB SSD, 750W Gold PSU, 240MM AIO, AC WiFi, Windows 11 Home 64-bit, White","1,499",,90 days FREE. Terms apply.,Ships to Bangladesh
HP ProBook x360 11.6" Touchscreen Convertible 2 in 1 Notebook - HD - 1366 x 768 - Intel Celeron N5100 Quad-core (4 Core) - 4 GB Total RAM - 128 GB SSD,499,,90 days FREE. Terms apply.,Ships to Bangladesh
"Microsoft Surface Laptop Studio, 14.4"" Rotating Pixelsense Touch Display (2400 x 1600), 11th Gen Intel i5, 16GB RAM, 256GB SSD, Windows 11H, Platinum (Renewed Premium)","1,359",,90 days FREE. Terms apply.,Ships to Bangladesh
HP Z4 G4 Workstation - Intel Xeon Quad-core (4 Core) W-2225 4.10 GHz - 16 GB DDR4 SDRAM RAM - 512 GB SSD - Tower,"2,428",,90 days FREE. Terms apply.,Ships to Bangladesh
"MSI Modern AM242TP AIO Desktop, 23.8"" FHD Touchscreen, Intel Core i7-1260P, 16GB Memory, 512GB SSD, WiFi 6, BT 5.1, FHD Webcam, White, Windows 11 Home Plus (12M-055US)","1,249",,90 days FREE. Terms apply.,Ships to Bangladesh
Acer TravelMate Vero V15-51 TMV15-51-57PP 15.6" Notebook - Full HD - 1920 x 1080 - Intel Core i5 11th Gen i5-1155G7 Quad-core (4 Core) 2.50 GHz - 16 GB Total RAM - 512 GB SSD - Black,861,,90 days FREE. Terms apply.,"Get it Mon, Jun 26 - Thu, Jun 29"
"LG 16U70Q-N.APC7U1 16'' Black 16:10 WUXGA UltraPC Laptop with Windows 11 Pro, 16GB LPDDR4x, & 1TB Dual SSD Slots",999,,90 days FREE. Terms apply.,Ships to Bangladesh
"OnePlus Pad 11.61"" LCD Display, 8GB RAM,128GB Storage, MediaTek Dimensity 9000, Android 13.1, 144HZ Refresh Rate, Dolby Vision Atmos, Wi-Fi with Cellular Data Sharing Tablet",479,164,90 days FREE. Terms apply.,Ships to Bangladesh
"ASUS ExpertCenter D500SC Small Form Factor Desktop PC, Intel Core i5-11400, 16GB DDR4 RAM, 256GB PCIe SSD + 1TB HDD, TPM, Windows 10 Home, Black, D500SC-AB504",649,1,90 days FREE. Terms apply.,Ships to Bangladesh
"MSI PRO DP20ZA (MFF) Desktop, AMD Ryzen R3-5300G, Radeon Vega 6, 8GB' Memory (Dual-CHL), 250GB SSD, WiFi 5, USB Type-C, Windows 11 Home (5M-062US)",499,42,90 days FREE. Terms apply.,Ships to Bangladesh
"MSI PRO 22XT AIO Desktop, 21.5"" FHD IPS-Grade LED Touchscreen w/HDMI-in, Intel Core i5-10400, 8GB Memory, 250GB SSD, WiFi 5, BT 4.2, USB Type-C, 3-YR Warranty, Windows 11 PRO (10M-825US)",949,1,90 days FREE. Terms apply.,Ships to Bangladesh
"Acer 2022 11.6"" HD Chromebook, AMD Dual-Core Processor Up to 2.35 GHz, 4GB DDR4, 64GB SSD, Super-Fast WiFi, Chrome OS (Renewed)",105,11,90 days FREE. Terms apply.,Ships to Bangladesh
HP Elite Dragonfly Chromebook Core i3-1215U 8GB 128GB SSD ax BT FR WC 13.5" QHD+ MT Chrome OS,"1,144",13,90 days FREE. Terms apply.,Ships to Bangladesh
"MSI Modern AM242 AIO Desktop, 23.8"" FHD IPS-Grade LED, Intel i3-1115G4, 8GB Memory, 256GB SSD, WiFi 6, BT 5.1, White, Windows 11 Home (11M-892US)",624,2,90 days FREE. Terms apply.,Ships to Bangladesh
Lenovo ThinkCentre M75s Gen 2 11R8003HUS Desktop Computer - AMD Ryzen 7 PRO 5750G Octa-core (8 Core) 3.80 GHz - 16 GB RAM DDR4 SDRAM - 512 GB M.2 PCI Express NVMe 3.0 x4 SSD - Small Form Factor -,839,4,90 days FREE. Terms apply.,Ships to Bangladesh
ASUS PN42-BBFN1000X1FC N100/BT5.2/65W/3Y/BK/VESA/BB Desktop,220,20,90 days FREE. Terms apply.,Ships to Bangladesh
Razer Blade Pro 17 Inch Gaming Laptop 256GB with NVIDIA GeForce GTX 960M graphics-Windows 10,"2,499",4,90 days FREE. Terms apply.,Ships to Bangladesh
"CyberpowerPC Gamer Xtreme VR Gaming PC, Intel Core i9-13900KF 3.0GHz, GeForce RTX 4090 24GB, 32GB DDR5, 2TB PCI-E NVMe SSD, 2TB HDD, WiFi Ready & Win 11 Home (GXiVR8600A), White","3,559",170,90 days FREE. Terms apply.,Ships to Bangladesh
"MSI Trident AS (SFF) Gaming Desktop, Intel Core i7-12700F, GeForce RTX 3070, 16GB' Memory (Dual-CHL), 1TB SSD, WiFi 6E, USB Type-C, VR-Ready, Windows 11 Home (12TD-030US)","1,599",17,90 days FREE. Terms apply.,Ships to Bangladesh
Intel NUC 12 Pro NUC12WSHi3 Barebone System - Socket BGA-1744 Core i3 12th Gen i3-1220P Deca-core (10 Core),363,1,90 days FREE. Terms apply.,"Get it Mon, Jul 3 - Tue, Jul 25"
HP EliteBook 860 G9 16" Notebook - WUXGA - 1920 x 1200 - Intel Core i5 12th Gen i5-1245U Deca-core (10 Core) - 16 GB Total RAM - 256 GB SSD,"1,595",,90 days FREE. Terms apply.,Ships to Bangladesh
HP Z2 G9 Workstation - Intel Core i7 Dodeca-core (12 Core) i7-12700K 12th Gen 3.60 GHz - 32 GB DDR5 SDRAM RAM - 1 TB SSD - Small Form Factor,"1,599",,90 days FREE. Terms apply.,Ships to Bangladesh
Lenovo 14e Chromebook Gen 2 82M1000GUS 14" Chromebook - Full HD - 1920 x 1080 - AMD 3015Ce 1.20 GHz - 4 GB Total RAM - 32 GB Flash Memory,328,,90 days FREE. Terms apply.,Ships to Bangladesh
"HP 14"" HD Chromebook, Intel Celeron Processor Up to 2.52GHz, 2GB RAM, 16GB SSD, Super-Fast WiFi, Chrome OS (Dale Silver) (Renewed)",79,,90 days FREE. Terms apply.,Ships to Bangladesh
"Unitech America HT730 LR (Long Range), 38-Key, WiFi ONLY, Qcta-core 2.3 GHz, Android 10 with GMS, EX30 2D Engine, BT 5.0, 802.11 a/b/g/n/ac/ax, Camera(13MP), HT730-LA61UMBG",874,,90 days FREE. Terms apply.,Ships to Bangladesh
"Elo Touch E326738 Elo, 1590L, 15-Inch LCD (Led Backlight), Open Frame, Hdmi, Vga and Display Port Video Interface, Intellitouch, USB and Rs232 Touch Controller Interface",578,,90 days FREE. Terms apply.,Ships to Bangladesh
HP ZBook Power G9 15.6" Mobile Workstation - Full HD - 1920 x 1080 - Intel Core i7 12th Gen i7-12700H Tetradeca-core (14 Core) 2.30 GHz - 32 GB Total RAM - 1 TB SSD,"2,174",,90 days FREE. Terms apply.,Ships to Bangladesh
"HP 14-inch HD AMD Ryzen 3 3.5GHz 4GB 1TB HDD Radeon Vega 3 Webcam Windows 10 Laptop Sliver (1TB HDD, Silver) (Renewed)",213,,90 days FREE. Terms apply.,Ships to Bangladesh
"GIGABYTE AERO 16 XE5: 16"" 4K/UHD+ Samsung AMOLED, Intel Core i7-12700H, NVIDIA GeForce RTX 3070 Ti Laptop GPU 8GB GDDR6, 16GB DDR5 RAM, 1TB SSD, Win11 Home (AERO 16 XE5-73US934HH)","1,499",,90 days FREE. Terms apply.,Ships to Bangladesh
HP ProBook 455 G9 15.6" Notebook - Full HD - 1920 x 1080 - AMD Ryzen 5 5625U Hexa-core (6 Core) - 16 GB Total RAM - 256 GB SSD - Silver,794,,90 days FREE. Terms apply.,Ships to Bangladesh
"MSI PRO 22XT AIO Desktop, 21.5"" FHD IPS-Grade LED Touchscreen w/HDMI-in, Intel Core i3-10100, 8GB Memory, 256GB SSD, WiFi 5, BT 4.2, USB Type-C, White, Windows 11 Home (10M-484US)",639,,90 days FREE. Terms apply.,Ships to Bangladesh
"OnePlus Pad 11.61"" LCD Display, 8GB RAM,128GB Storage, MediaTek Dimensity 9000, Android 13.1, 144HZ Refresh Rate, Dolby Vision Atmos, Wi-Fi with Cellular Data Sharing Tablet",479,"3,850",90 days FREE. Terms apply.,Ships to Bangladesh
"Lenovo Smart Tab P10 10.1î Android Tablet, Alexa-Enabled Smart Device with Fingerprint Sensor and Smart Dock Featuring 4 Dolby Atmos Speakers - 64GB Storage with Alexa Enabled Charging Dock Included",256,1,90 days FREE. Terms apply.,Ships to Bangladesh
DP 7 Quad Core Tablet Teal,69,863,90 days FREE. Terms apply.,Ships to Bangladesh
Acer Chromebook 511 C734 C734-C3V5 11.6" Chromebook - HD - 1366 x 768 - Intel Celeron N4500 Dual-core (2 Core) 1.10 GHz - 8 GB RAM - 32 GB Flash Memory,379,1,90 days FREE. Terms apply.,Ships to Bangladesh
"MSI Modern AM242TP AIO Desktop, 23.8"" FHD Touchscreen, Intel Core i5-1240P, 8GB Memory, 512GB SSD, WiFi 6, BT 5.1, FHD Webcam, White, Windows 11 Home (12M-056US)","1,057",6,90 days FREE. Terms apply.,Ships to Bangladesh
"Intel NUC 8 Mainstream Kit (NUC8i3BEH) - Core i3, Tall, Add't Components Needed",305,1,90 days FREE. Terms apply.,Ships to Bangladesh
MSI CREATORZ1713065 17" I9-13950HX/64/2T/4070/W11P Laptop,"3,599",2,90 days FREE. Terms apply.,Ships to Bangladesh
LG Gram 16Z90Q-N.APB7U1 - Intel Core i7 1260P / 2.1 GHz - Evo - Win 11 Pro - Iris Xe Graphics - 16 GB RAM - 1 TB SSD NVMe,"1,301",,90 days FREE. Terms apply.,Ships to Bangladesh
Lenovo ThinkPad P1 Gen 4 20Y3007KUS 16" Mobile Workstation - WQXGA - 2560 x 1600 - Intel Core i7 11th Gen i7-11800H Octa-core (8 Core) 2.30 GHz - 16 GB Total RAM - 512 GB SSD - Black,"2,369",,90 days FREE. Terms apply.,Ships to Bangladesh
"MSI PRO 22XT AIO Desktop, 21.5"" FHD IPS-Grade LED Touchscreen w/HDMI-in, Intel Core i3-10100, 8GB Memory(4G*2), 256GB SSD, WiFi 5, BT 4.2, USB Type-C, Black, Windows 11 Home (10M-679US)",718,,90 days FREE. Terms apply.,Ships to Bangladesh
Intel NUC 12 Pro NUC12WSKv7 Barebone System - Mini PC - Socket BGA-1744 Core i7 12th Gen i7-1270P Dodeca-core [12 Core],709,,90 days FREE. Terms apply.,Ships to Bangladesh
Dell Latitude 3000 3520 15.6" Notebook - HD - 1366 x 768 - Intel Core i5 11th Gen i5-1135G7 Quad-core (4 Core) 2.40 GHz - 8 GB Total RAM - 256 GB SSD - Black,"1,177",,90 days FREE. Terms apply.,Ships to Bangladesh
"MSI PRO 22XT AIO Desktop, 21.5"" FHD IPS-Grade LED Touchscreen w/HDMI-in, Intel Core i3-10100, 8GB Memory, 256GB SSD, WiFi 5, BT 4.2, USB Type-C, Black, Windows 11 Home (10M-623US)",739,,90 days FREE. Terms apply.,Ships to Bangladesh
"SAMSUNG 11"" HD Light-Weight Chromebook, Intel Celeron Processor Up to 2.40GHz, 4GB Ram, 16GB SSD, Super-Fast WiFi, HDMI, Chrome OS, Dale Black (Renewed) (Dale Black)",79,,90 days FREE. Terms apply.,Ships to Bangladesh
"Elo EloPOS 15"" Point of Sale System, 15-inch Touchscreen with i5, Win 10, 8GB RAM, 128GB SSD, and Stand with Connection Hub","2,234",,90 days FREE. Terms apply.,Ships to Bangladesh
HP Z4 G4 Workstation - 1 x Intel Xeon Hexa-core (6 Core) W-2235 3.80 GHz - 16 GB DDR4 SDRAM RAM - 512 GB SSD - Mini-Tower - Black,"2,803",,90 days FREE. Terms apply.,"Get it Thu, Jun 29 - Fri, Jul 14"
"MSI Summit E14 Evo 14.0"" FHD+ Ultra Thin Professional Laptop: Intel Core i7-1260P Iris Xe 16GB LPDDR5 512GB NVMe SSD, USB Type-C w/ PD Charging, Thunderbolt 4, TPM 2.0, Win 11 Pro: Ink Black A12M-025","1,199",,90 days FREE. Terms apply.,Ships to Bangladesh
Lenovo ThinkCentre M75q Gen 2 11JN0029US Desktop Computer - AMD Ryzen 3 PRO 5350GE Quad-core (4 Core) 3.60 GHz - 8 GB RAM DDR4 SDRAM - 128 GB NVMe M.2 PCI Express SSD - Tiny - Black,659,,90 days FREE. Terms apply.,Ships to Bangladesh
ASUS PN53-BB7000X1TD R7-6800H/BT5.2/Radeon/BB/VESA Mini PC,555,,90 days FREE. Terms apply.,Ships to Bangladesh
Lenovo ThinkCentre M80t Gen 3 11TE001EUS Desktop Computer - Intel Core i5 12th Gen i5-12500 Hexa-core (6 Core) 3 GHz - 16 GB RAM DDR5 SDRAM - 512 GB NVMe M.2 PCI Express PCI Express NVMe 4.0 x4 SSD -,926,,90 days FREE. Terms apply.,Ships to Bangladesh
HP Z2 G9 Workstation - Intel Core i7 Dodeca-core (12 Core) i7-12700 12th Gen 2.10 GHz - 16 GB DDR5 SDRAM RAM - 512 GB SSD - Small Form Factor,"1,602",,90 days FREE. Terms apply.,Ships to Bangladesh
Smart Buy Z2 G9 SFF I9-12900K 1TB 32GB W11P 64 DG W10 HIE,"2,929",,90 days FREE. Terms apply.,Ships to Bangladesh
ASUS PN41-S1-SYSF541PXFL N5100/4/128/W11P/BT5/65W/VESA,229,,90 days FREE. Terms apply.,Ships to Bangladesh
Lenovo ThinkPad L14 Gen2 20X100GCUS 14" Touchscreen Notebook - Full HD - 1920 x 1080 - Intel Core i5 11th Gen i5-1135G7 Quad-core (4 Core) 2.40 GHz - 8 GB RAM - 256 GB SSD - Black - Intel Chip -,599,,90 days FREE. Terms apply.,Ships to Bangladesh
"OnePlus Pad 11.61"" LCD Display, 8GB RAM,128GB Storage, MediaTek Dimensity 9000, Android 13.1, 144HZ Refresh Rate, Dolby Vision Atmos, Wi-Fi with Cellular Data Sharing Tablet",479,10,90 days FREE. Terms apply.,Ships to Bangladesh
"SAMSUNG Electronics Galaxy Book 15 Int 15.6"" Intel Core i7-1165G7 Processor, 16GB, 256GB- Wi-Fi - Mystic Silver (NP750XDA-KD2US)","1,114",8,90 days FREE. Terms apply.,Ships to Bangladesh
Intel NUC 12 Pro NUC12WSHv7 Barebone System - Mini PC - Socket BGA-1744 Core i7 12th Gen i7-1270P Dodeca-core (12 Core),785,12,90 days FREE. Terms apply.,Ships to Bangladesh
Acer Lenovo ThinkPad T15g Gen 2 20YS004TUS 15.6" Notebook - Full HD - 1920 x 1080 - Intel Core i7 11th Gen i7-11800H Octa-core (8 Core) 2.30 GHz - 16 GB RAM - 512 GB SSD - Black,"2,303",2,90 days FREE. Terms apply.,"Get it Thu, Jun 29 - Fri, Jul 14"
"LG 24CN650N-6N 24î FHD IPS TAA All-in-One Thin Client with Quad-core Processor, Built-in FHD Webcam & Speaker",506,3,90 days FREE. Terms apply.,Ships to Bangladesh
"ECS Elitegroup Liva Z Windows 10 Pro Mini PC Computer Intel Celeron N3350 Dual-core, 4GB DDR3L/64GB eMMC, Type C Port, 4K@60Hz HDMI+mDP, Dual LAN, WiFi 5, Dual Displays, Black",192,,90 days FREE. Terms apply.,Ships to Bangladesh
Lenovo ThinkCentre M90a Gen 3 Pro 11VA004LUS All-in-One Computer - Intel Core i5 12th Gen i5-12500 Hexa-core (6 Core) 3 GHz - 16 GB RAM DDR4 SDRAM - 512 GB M.2 PCI Express NVMe 4.0 x4 SSD - 23.8","1,569",,90 days FREE. Terms apply.,Ships to Bangladesh
"MSI PRO DP21 (MFF) Desktop, Intel Core i3-12100, UHD 730, 8GB' Memory, 500GB SSD, WiFi 6, Windows 11 Home (12M-428US)",479,,90 days FREE. Terms apply.,Ships to Bangladesh
Lenovo ThinkPad E15 Gen 4 21ED0045US 15.6" Notebook - Full HD - 1920 x 1080 - AMD Ryzen 7 5825U Octa-core (8 Core) 2 GHz - 16 GB Total RAM - 8 GB On-Board Memory - 256 GB SSD - Mineral Metallic,799,,90 days FREE. Terms apply.,Ships to Bangladesh
Intel Wall Street NO TYPEC I5 SLIMNUC NUC 12 PRO MINIPC WIN11 PRO US Cord,672,,90 days FREE. Terms apply.,Ships to Bangladesh
"MSI PRO DP21 (MFF) Desktop, Intel Core i5-12400, UHD 730, 8GB' Memory, 500GB SSD, WiFi 6, Windows 11 Pro (12M-418US)",585,,90 days FREE. Terms apply.,Ships to Bangladesh
"Lenovo M90T G3 Tower,W10P,I5,16GB,256GB,3YR","1,189",,90 days FREE. Terms apply.,Ships to Bangladesh
HP ZBook Fury G9 16" Mobile Workstation - WUXGA - 1920 x 1200 - Intel Core i9 12th Gen i9-12950HX Hexadeca-core (16 Core) 2.30 GHz - 64 GB Total RAM - 1 TB SSD,"5,813",,90 days FREE. Terms apply.,"Get it Tue, Jun 27 - Mon, Jul 10"
Longacre 52-72715 Wireless Tablet XLI Scales w/Storage Box,"2,458",,90 days FREE. Terms apply.,Ships to Bangladesh
Lenovo 300E CHROMEBOOK (2ND GEN) - 11.6" - CELERON N4020-4 GB RAM - 32 GB EMMC - English,209,,90 days FREE. Terms apply.,"Get it Tue, Jun 27 - Mon, Jul 10"
ASUS PN53-SYS715PX1FD R7-6800H/16/512/BT5.2/W11P Mini PC,899,,90 days FREE. Terms apply.,Ships to Bangladesh
ASRock 4X4 BOX-4300U AMD Ryzenô 4000U-Series PC,309,,90 days FREE. Terms apply.,Ships to Bangladesh
"Lenovo 2023 Newest IdeaCentre 3i Desktop, Intel Core i7-12700 (12-core) Processor, 64GB RAM, 2TB SSD, 2TB HDD, Intel UHD Graphics 770, USB Calliope Keyboard & Wired Mouse, Wi-Fi 6, Windows 11 Home","1,236",,90 days FREE. Terms apply.,Ships to Bangladesh
"ASUS Vivobook 14X Laptop, 14î WUXGA Display, Intel Core i7-13700H CPU, NVIDIA GeForce RTX 2050, 16GB RAM, 1TB SSD, Windows 11 Home, Indie Black, K3405VF-ES74",999,,90 days FREE. Terms apply.,Ships to Bangladesh
Lenovo ThinkPad T15p Gen 2 21A7003LUS 15.6" Mobile Workstation - Full HD - 1920 x 1080 - Intel Core i7 11th Gen i7-11800H Octa-core (8 Core) 2.30 GHz - 16 GB Total RAM - 1 TB SSD - Black,"2,259",,90 days FREE. Terms apply.,Ships to Bangladesh
Lenovo IdeaPad 3 ñ (2023) - Everyday Notebook - Windows 11-14" Full HD ñ 8GB Memory ñ 128GB Storage - Intel Core i3-1115G - Platinum Grey,299,,90 days FREE. Terms apply.,Ships to Bangladesh
Dell Latitude 9000 9330 13.3" Touchscreen Convertible 2 in 1 Notebook - QHD+ - 2560 x 1600 - Intel Core i7 12th Gen i7-1260U Deca-core (10 Core) - 32 GB Total RAM - 512 GB SSD - Graphite,"2,323",,90 days FREE. Terms apply.,Ships to Bangladesh
Lenovo ThinkPad X1 Extreme Gen 5 21DE0048US 16" Touchscreen Notebook - WQUXGA - 3840 x 2400 - Intel Core i7 12th Gen i7-12800H Tetradeca-core (14 Core) 2.40 GHz - 16 GB Total RAM - 1 TB SSD - Black,"3,065",,90 days FREE. Terms apply.,"Get it Thu, Jun 22 - Wed, Jul 5"
"Dell Inspiron 3501 15.6"" FHD Touchscreen Business Laptop, Intel Core i5-1135G7 Processor, Windows 10 Pro, 8GB RAM, 256GB SSD, Wi-Fi, Bluetooth, Webcam, HDMI, Black","1,374",,90 days FREE. Terms apply.,Ships to Bangladesh
"OnePlus Pad 11.61"" LCD Display, 8GB RAM,128GB Storage, MediaTek Dimensity 9000, Android 13.1, 144HZ Refresh Rate, Dolby Vision Atmos, Wi-Fi with Cellular Data Sharing Tablet",479,1,90 days FREE. Terms apply.,Ships to Bangladesh
"MSI Crosshair 17 17.3"" 144Hz FHD Gaming Laptop: Intel Core i7-12700H RTX 3070 16GB 512GB NVMe SSD, Type-C USB 3.2 , Backlight Keyboard , Cooler Boost 5, Win11 Home: Multi-Color Gradient B12UGZ-295","1,816",1,90 days FREE. Terms apply.,Ships to Bangladesh
TOUGHBOOK CF 54 I5-6300U 2.4G,"1,869",1,90 days FREE. Terms apply.,Ships to Bangladesh
Lenovo ThinkPad P1 Gen 4 20Y4S2NL00 16" Mobile Workstation - WQXGA - 2560 x 1600 - Intel Core i7 11th Gen i7-11850H Octa-core (8 Core) 2.50 GHz - 16 GB RAM - 512 GB SSD - Black,"2,619",90,90 days FREE. Terms apply.,Ships to Bangladesh
HP Z2 G9 Workstation - Intel Core i7 Dodeca-core (12 Core) i7-12700 12th Gen 2.10 GHz - 16 GB DDR5 SDRAM RAM - 512 GB SSD - Tower,"1,799",1,90 days FREE. Terms apply.,Ships to Bangladesh
"Lenovo Chromebook 100e 2nd Gen 11.6"" HD Notebook Computer, Intel Celeron N4020 1.10GHz, 4GB RAM, 32GB eMMC Flash Memory, Chrome OS, Black",236,5,90 days FREE. Terms apply.,Ships to Bangladesh
Dell Precision 3000 3470 14" Mobile Workstation - Full HD - 1920 x 1080 - Intel Core i7 12th Gen i7-1270P Dodeca-core (12 Core) - 32 GB Total RAM - 512 GB SSD - Titan Gray,"2,123",44,90 days FREE. Terms apply.,Ships to Bangladesh
